Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
1	Spectrogram 1	1	662593.580521792	662593.705969777	0.000	410.300	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	1.7563
2	Spectrogram 1	1	662592.352923651	662592.648622474	0.000	483.500	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	0.5287
3	Spectrogram 1	1	662596.429983168	662596.698800279	0.000	1157.500	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	4.6057
4	Spectrogram 1	1	662595.507044420	662596.304535183	29.300	410.300	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	3.6828
5	Spectrogram 1	1	662597.612778456	662597.800950434	0.000	615.400	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	5.7885
6	Spectrogram 1	1	662597.379803626	662597.567975604	0.000	468.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	5.5556
7	Spectrogram 1	1	662598.087688685	662598.419229789	29.300	424.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	6.2634
8	Spectrogram 1	1	662598.643244048	662598.795573744	58.600	468.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	6.8190
9	Spectrogram 1	1	662598.786613174	662599.010627433	0.000	732.600	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	6.9624
10	Spectrogram 1	1	662599.817078766	662600.274067855	0.000	2652.000	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	7.9928
